,brand,model,price,mileage,year,location,body_type,fuel,power,transmission,color,engine_size
0,Volkswagen,T Roc,98000.0,100000.0,2020.0,Ariana,Autres,Essence,6.0,Manuelle,Blanc,
1,Mg,Zs,68000.0,100000.0,2019.0,Ariana,Autres,Essence,7.0,Automatique,Rouge,
2,Kia,Cerato 5P,37000.0,115500.0,2013.0,Tunis,Berline,Essence,8.0,Automatique,Noir,
3,Kia,Sportage,98000.0,127000.0,2018.0,Ariana,4 X 4,Diesel,6.0,Manuelle,Noir,
4,Audi,A4,42000.0,184000.0,2011.0,Ben Arous,Berline,Essence,7.0,Automatique,Noir,
5,Mg,Zs,69000.0,51000.0,2019.0,Ariana,4 X 4,Essence,7.0,Automatique,Blanc,
6,Peugeot,Partner,25500.0,287500.0,2009.0,Ben Arous,Utilitaire,Diesel,6.0,Manuelle,Blanc,
7,Mercedes Benz,Classe C,110000.0,175000.0,2015.0,Tunis,Berline,Essence,8.0,Automatique,Noir,
8,Audi,A4,56000.0,200000.0,2013.0,Ariana,Berline,Diesel,8.0,Automatique,Noir,
9,Mercedes Benz,Gla,98000.0,95000.0,2014.0,Ariana,Compacte,Essence,8.0,Automatique,Gris,
10,Audi,Q3,95000.0,172000.0,2018.0,Ariana,4 X 4,Essence,8.0,Automatique,Beige,
11,Mercedes Benz,Classe B,65000.0,81000.0,2013.0,Ariana,Monospace,Essence,7.0,Automatique,Bleu,
24,Volkswagen,Golf 7,44500.0,135000.0,2013.0,Ariana,Autres,Essence,5.0,Manuelle,Blanc,
25,Mercedes Benz,Classe C Coupe,67000.0,160000.0,2011.0,Ariana,Coupé,Essence,9.0,Automatique,Noir,
26,Volkswagen,Golf 7,74000.0,86000.0,2019.0,Ariana,Compacte,Essence,6.0,Automatique,Noir,
27,Kia,Sportage,125000.0,25000.0,2021.0,Bizerte,Autres,Essence,11.0,Automatique,Noir,
28,Bmw,Serie 3,76000.0,150000.0,2015.0,Ariana,Berline,Essence,7.0,Automatique,Noir,
29,Dacia,Logan Mcv,30500.0,135000.0,2016.0,Ariana,Berline,Essence,5.0,Manuelle,Bleu,
30,Audi,A3,108000.0,34000.0,2020.0,Ariana,Compacte,Essence,6.0,Automatique,Gris,
31,Ford,Ecosport,62000.0,45000.0,2018.0,Ariana,4 X 4,Essence,7.0,Manuelle,Gris,
32,Bmw,Serie 4 Gran Coupe,120000.0,91500.0,2017.0,Ben Arous,Berline,Essence,7.0,Automatique,Noir,
33,Peugeot,208,,71000.0,2019.0,Monastir,Citadine,Essence,4.0,Manuelle,Blanc,
34,Mercedes Benz,Ml,120000.0,145000.0,2008.0,Tunis,4 X 4,Diesel,14.0,Automatique,Noir,
35,Renault,Clio,31000.0,146000.0,2013.0,Ariana,Citadine,Essence,5.0,Manuelle,Rouge,
36,Isuzu,D Max,,347500.0,2015.0,Béja,Autres,Diesel,8.0,Manuelle,Blanc,
37,Peugeot,3008,112000.0,31000.0,2020.0,Manouba,Autres,Essence,7.0,Automatique,Rouge,
38,Volkswagen,Polo,34000.0,123000.0,2014.0,Tunis,Citadine,Essence,4.0,Manuelle,Noir,
39,Audi,A5 Sportback,156000.0,62000.0,2020.0,Ben Arous,Berline,Essence,7.0,Automatique,Noir,
40,Hyundai,H 1,59000.0,290000.0,2017.0,Ben Arous,Autres,Diesel,8.0,Manuelle,Blanc,
41,Renault,Clio,15300.0,305000.0,1998.0,Ben Arous,Citadine,Essence,5.0,Manuelle,Gris,
42,Volkswagen,Golf 7,59500.0,104000.0,2017.0,Ben Arous,Coupé,Essence,6.0,Manuelle,Blanc,
43,Kia,Sportage,47500.0,220000.0,2010.0,Ben Arous,4 X 4,Diesel,10.0,Manuelle,Gris,
44,Mercedes Benz,Cla,168000.0,80000.0,2019.0,Ben Arous,Berline,Essence,7.0,Automatique,Noir,
45,Mercedes Benz,Classe E Coupe,65000.0,166000.0,2010.0,Ben Arous,Coupé,Essence,11.0,Automatique,Gris,
46,Ford,Mondeo,39000.0,138000.0,2014.0,Ben Arous,Berline,Essence,9.0,Manuelle,Noir,
47,Porsche,Cayenne,55000.0,200000.0,2008.0,Ben Arous,4 X 4,Essence,21.0,Automatique,Noir,
49,Peugeot,206 Plus,23000.0,156183.0,2011.0,Tunis,Citadine,Essence,4.0,Manuelle,Noir,
50,Kia,Sportage,108000.0,81234.0,2018.0,Sousse,4 X 4,Diesel,7.0,Automatique,Blanc,
51,Kia,Rio 5P,45900.0,110000.0,2019.0,Ben Arous,Coupé,Essence,5.0,Manuelle,Noir,
52,Mg,Hs,110000.0,17000.0,2020.0,Ben Arous,4 X 4,Essence,15.0,Automatique,Blanc,
53,Porsche,Cayenne,135000.0,200000.0,2010.0,Ben Arous,4 X 4,Essence,21.0,Automatique,Noir,
54,Mazda,3,,60000.0,2021.0,Ben Arous,Coupé,Essence,6.0,Automatique,Gris,
55,Bmw,Serie 5,112000.0,125000.0,2016.0,Ben Arous,Berline,Essence,9.0,Automatique,Noir,
56,Audi,A3,18500.0,250000.0,2001.0,Ariana,Coupé,Diesel,6.0,Manuelle,Gris,
57,Ssangyong,Tivoli,62500.0,88000.0,2017.0,Ben Arous,Autres,Essence,8.0,Automatique,Blanc,
58,Mazda,3,58500.0,80000.0,2019.0,Ben Arous,Coupé,Essence,6.0,Manuelle,Bleu,
59,Jeep,Compass,37900.0,200000.0,2006.0,Ben Arous,4 X 4,Essence,11.0,Automatique,Gris,
60,Peugeot,206,18300.0,284000.0,2002.0,Bizerte,Citadine,Essence,4.0,Manuelle,Noir,
61,Bmw,Serie 5,98000.0,148000.0,2012.0,Ben Arous,Berline,Essence,10.0,Automatique,Noir,
62,Audi,Q7,,160000.0,2015.0,Ben Arous,4 X 4,Essence,16.0,Automatique,Blanc,
63,Volkswagen,Golf 7,48000.0,229000.0,2014.0,Manouba,Compacte,Essence,5.0,Manuelle,Bleu,
64,Mercedes Benz,Classe C,238000.0,9000.0,2022.0,Ben Arous,Berline,Hybride,10.0,Automatique,Blanc,
65,Peugeot,308,29500.0,49000.0,2010.0,Ben Arous,Coupé,Essence,6.0,Manuelle,Gris,
66,Audi,Q7,,180000.0,2008.0,Ben Arous,4 X 4,Diesel,16.0,Automatique,Noir,
